jour;libelle;reg;incid_rea
2020-06-25;La Réunion;4;0
2020-06-25;Martinique;2;0
2020-06-25;Mayotte;6;0
2020-06-25;Normandie;28;0
2020-06-25;Nouvelle-Aquitaine;75;0
2020-06-25;Occitanie;76;1
2020-06-25;Pays de la Loire;52;0
2020-06-25;Provence-Alpes-Côte d'Azur;93;0
2020-06-26;Auvergne-Rhône-Alpes;84;1
2020-06-26;Bourgogne-Franche-Comté;27;0
2020-06-26;Bretagne;53;0
2020-06-26;Centre-Val de Loire;24;0
2020-06-26;Corse;94;0
2020-06-26;Grand-Est;44;2
2020-06-26;Guadeloupe;1;0
2020-06-26;Guyane;3;5
2020-06-26;Hauts-de-France;32;1
2020-06-26;Ile-de-France;11;5
2020-06-26;La Réunion;4;0
2020-06-26;Martinique;2;0
2020-06-26;Mayotte;6;0
2020-06-26;Normandie;28;0
2020-06-26;Nouvelle-Aquitaine;75;0
2020-06-26;Occitanie;76;1
2020-06-26;Pays de la Loire;52;0
2020-06-26;Provence-Alpes-Côte d'Azur;93;0
2020-06-27;Auvergne-Rhône-Alpes;84;0
2020-06-27;Bourgogne-Franche-Comté;27;1
2020-06-27;Bretagne;53;0
2020-06-27;Centre-Val de Loire;24;0
2020-06-27;Corse;94;0
2020-06-27;Grand-Est;44;0
2020-06-27;Guadeloupe;1;0
2020-06-27;Guyane;3;2
2020-06-27;Hauts-de-France;32;4
2020-06-27;Ile-de-France;11;1
2020-06-27;La Réunion;4;0
2020-06-27;Martinique;2;0
2020-06-27;Mayotte;6;0
2020-06-27;Normandie;28;0
2020-06-27;Nouvelle-Aquitaine;75;0
2020-06-27;Occitanie;76;1
2020-06-27;Pays de la Loire;52;0
2020-06-27;Provence-Alpes-Côte d'Azur;93;0
2020-06-28;Auvergne-Rhône-Alpes;84;0
2020-06-28;Bourgogne-Franche-Comté;27;0
2020-06-28;Bretagne;53;0
2020-06-28;Centre-Val de Loire;24;0
2020-06-28;Corse;94;0
2020-06-28;Grand-Est;44;0
2020-06-28;Guadeloupe;1;0
2020-06-28;Guyane;3;2
2020-06-28;Hauts-de-France;32;0
2020-06-28;Ile-de-France;11;1
2020-06-28;La Réunion;4;0
2020-06-28;Martinique;2;0
2020-06-28;Mayotte;6;0
2020-06-28;Normandie;28;0
2020-06-28;Nouvelle-Aquitaine;75;0
2020-06-28;Occitanie;76;1
2020-06-28;Pays de la Loire;52;0
2020-06-28;Provence-Alpes-Côte d'Azur;93;0
2020-06-29;Auvergne-Rhône-Alpes;84;2
2020-06-29;Bourgogne-Franche-Comté;27;0
2020-06-29;Bretagne;53;0
2020-06-29;Centre-Val de Loire;24;0
2020-06-29;Corse;94;0
2020-06-29;Grand-Est;44;1
2020-06-29;Guadeloupe;1;0
2020-06-29;Guyane;3;1
2020-06-29;Hauts-de-France;32;1
2020-06-29;Ile-de-France;11;4
2020-06-29;La Réunion;4;1
2020-06-29;Martinique;2;1
2020-06-29;Mayotte;6;1
2020-06-29;Normandie;28;0
2020-06-29;Nouvelle-Aquitaine;75;2
2020-06-29;Occitanie;76;1
2020-06-29;Pays de la Loire;52;0
2020-06-29;Provence-Alpes-Côte d'Azur;93;0
2020-06-30;Auvergne-Rhône-Alpes;84;1
2020-06-30;Bourgogne-Franche-Comté;27;0
2020-06-30;Bretagne;53;0
2020-06-30;Centre-Val de Loire;24;0
2020-06-30;Corse;94;0
2020-06-30;Grand-Est;44;1
2020-06-30;Guadeloupe;1;0
2020-06-30;Guyane;3;0
2020-06-30;Hauts-de-France;32;1
2020-06-30;Ile-de-France;11;5
2020-06-30;La Réunion;4;0
2020-06-30;Martinique;2;0
2020-06-30;Mayotte;6;0
2020-06-30;Normandie;28;0
2020-06-30;Nouvelle-Aquitaine;75;0
2020-06-30;Occitanie;76;0
2020-06-30;Pays de la Loire;52;0
2020-06-30;Provence-Alpes-Côte d'Azur;93;0
2020-07-01;Auvergne-Rhône-Alpes;84;0
2020-07-01;Bourgogne-Franche-Comté;27;0
2020-07-01;Bretagne;53;0
2020-07-01;Centre-Val de Loire;24;0
2020-07-01;Corse;94;0
2020-07-01;Grand-Est;44;2
2020-07-01;Guadeloupe;1;0
2020-07-01;Guyane;3;4
2020-07-01;Hauts-de-France;32;2
2020-07-01;Ile-de-France;11;9
2020-07-01;La Réunion;4;0
2020-07-01;Martinique;2;0
2020-07-01;Mayotte;6;0
2020-07-01;Normandie;28;0
2020-07-01;Nouvelle-Aquitaine;75;0
2020-07-01;Occitanie;76;0
2020-07-01;Pays de la Loire;52;0
2020-07-01;Provence-Alpes-Côte d'Azur;93;0
2020-07-02;Auvergne-Rhône-Alpes;84;0
2020-07-02;Bourgogne-Franche-Comté;27;1
2020-07-02;Bretagne;53;0
2020-07-02;Centre-Val de Loire;24;0
2020-07-02;Corse;94;0
2020-07-02;Grand-Est;44;2
2020-07-02;Guadeloupe;1;1
2020-07-02;Guyane;3;5
2020-07-02;Hauts-de-France;32;0
2020-07-02;Ile-de-France;11;2
2020-07-02;La Réunion;4;0
2020-07-02;Martinique;2;0
2020-07-02;Mayotte;6;0
2020-07-02;Normandie;28;0
2020-07-02;Nouvelle-Aquitaine;75;0
2020-07-02;Occitanie;76;0
2020-07-02;Pays de la Loire;52;0
2020-07-02;Provence-Alpes-Côte d'Azur;93;1
2020-07-03;Auvergne-Rhône-Alpes;84;1
2020-07-03;Bourgogne-Franche-Comté;27;0
2020-07-03;Bretagne;53;0
2020-07-03;Centre-Val de Loire;24;0
2020-07-03;Corse;94;0
2020-07-03;Grand-Est;44;2
2020-07-03;Guadeloupe;1;0
2020-07-03;Guyane;3;3
2020-07-03;Hauts-de-France;32;2
2020-07-03;Ile-de-France;11;2
2020-07-03;La Réunion;4;0
2020-07-03;Martinique;2;0
2020-07-03;Mayotte;6;1
2020-07-03;Normandie;28;0
2020-07-03;Nouvelle-Aquitaine;75;0
2020-07-03;Occitanie;76;0
2020-07-03;Pays de la Loire;52;1
2020-07-03;Provence-Alpes-Côte d'Azur;93;0
2020-07-04;Auvergne-Rhône-Alpes;84;1
2020-07-04;Bourgogne-Franche-Comté;27;0
2020-07-04;Bretagne;53;0
2020-07-04;Centre-Val de Loire;24;0
2020-07-04;Corse;94;0
2020-07-04;Grand-Est;44;0
2020-07-04;Guadeloupe;1;0
2020-07-04;Guyane;3;2
2020-07-04;Hauts-de-France;32;1
2020-07-04;Ile-de-France;11;0
2020-07-04;La Réunion;4;0
2020-07-04;Martinique;2;0
2020-07-04;Mayotte;6;0
2020-07-04;Normandie;28;0
2020-07-04;Nouvelle-Aquitaine;75;0
2020-07-04;Occitanie;76;0
2020-07-04;Pays de la Loire;52;0
2020-07-04;Provence-Alpes-Côte d'Azur;93;0
2020-07-05;Auvergne-Rhône-Alpes;84;0
2020-07-05;Bourgogne-Franche-Comté;27;0
2020-07-05;Bretagne;53;0
2020-07-05;Centre-Val de Loire;24;0
2020-07-05;Corse;94;0
2020-07-05;Grand-Est;44;0
2020-07-05;Guadeloupe;1;0
2020-07-05;Guyane;3;3
2020-07-05;Hauts-de-France;32;0
2020-07-05;Ile-de-France;11;2
2020-07-05;La Réunion;4;0
2020-07-05;Martinique;2;0
2020-07-05;Mayotte;6;0
2020-07-05;Normandie;28;0
2020-07-05;Nouvelle-Aquitaine;75;0
2020-07-05;Occitanie;76;0
2020-07-05;Pays de la Loire;52;0
2020-07-05;Provence-Alpes-Côte d'Azur;93;0
2020-07-06;Auvergne-Rhône-Alpes;84;2
2020-07-06;Bourgogne-Franche-Comté;27;0
2020-07-06;Bretagne;53;0
2020-07-06;Centre-Val de Loire;24;0
2020-07-06;Corse;94;0
2020-07-06;Grand-Est;44;2
2020-07-06;Guadeloupe;1;0
2020-07-06;Guyane;3;2
2020-07-06;Hauts-de-France;32;1
2020-07-06;Ile-de-France;11;2
2020-07-06;La Réunion;4;1
2020-07-06;Martinique;2;0
2020-07-06;Mayotte;6;0
2020-07-06;Normandie;28;0
2020-07-06;Nouvelle-Aquitaine;75;0
2020-07-06;Occitanie;76;0
2020-07-06;Pays de la Loire;52;0
2020-07-06;Provence-Alpes-Côte d'Azur;93;0
2020-07-07;Auvergne-Rhône-Alpes;84;2
2020-07-07;Bourgogne-Franche-Comté;27;1
2020-07-07;Bretagne;53;0
2020-07-07;Centre-Val de Loire;24;0
2020-07-07;Corse;94;0
2020-07-07;Grand-Est;44;5
2020-07-07;Guadeloupe;1;0
2020-07-07;Guyane;3;4
2020-07-07;Hauts-de-France;32;1
2020-07-07;Ile-de-France;11;7
2020-07-07;La Réunion;4;0
2020-07-07;Martinique;2;0
2020-07-07;Mayotte;6;0
2020-07-07;Normandie;28;0
2020-07-07;Nouvelle-Aquitaine;75;0
2020-07-07;Occitanie;76;1
2020-07-07;Pays de la Loire;52;0
2020-07-07;Provence-Alpes-Côte d'Azur;93;0
2020-07-08;Auvergne-Rhône-Alpes;84;3
2020-07-08;Bourgogne-Franche-Comté;27;1
2020-07-08;Bretagne;53;0
2020-07-08;Centre-Val de Loire;24;0
2020-07-08;Corse;94;0
2020-07-08;Grand-Est;44;2
2020-07-08;Guadeloupe;1;0
2020-07-08;Guyane;3;1
2020-07-08;Hauts-de-France;32;1
2020-07-08;Ile-de-France;11;3
2020-07-08;La Réunion;4;0
2020-07-08;Martinique;2;0
2020-07-08;Mayotte;6;0
2020-07-08;Normandie;28;1
2020-07-08;Nouvelle-Aquitaine;75;0
2020-07-08;Occitanie;76;0
2020-07-08;Pays de la Loire;52;2
2020-07-08;Provence-Alpes-Côte d'Azur;93;4
2020-07-09;Auvergne-Rhône-Alpes;84;0
2020-07-09;Bourgogne-Franche-Comté;27;0
2020-07-09;Bretagne;53;0
2020-07-09;Centre-Val de Loire;24;0
2020-07-09;Corse;94;0
2020-07-09;Grand-Est;44;1
2020-07-09;Guadeloupe;1;0
2020-07-09;Guyane;3;1
2020-07-09;Hauts-de-France;32;1
2020-07-09;Ile-de-France;11;4
2020-07-09;La Réunion;4;0
2020-07-09;Martinique;2;0
2020-07-09;Mayotte;6;0
2020-07-09;Normandie;28;0
2020-07-09;Nouvelle-Aquitaine;75;0
2020-07-09;Occitanie;76;0
2020-07-09;Pays de la Loire;52;0
2020-07-09;Provence-Alpes-Côte d'Azur;93;1
2020-07-10;Auvergne-Rhône-Alpes;84;1
2020-07-10;Bourgogne-Franche-Comté;27;0
2020-07-10;Bretagne;53;0
2020-07-10;Centre-Val de Loire;24;1
2020-07-10;Corse;94;0
2020-07-10;Grand-Est;44;0
2020-07-10;Guadeloupe;1;0
2020-07-10;Guyane;3;2
2020-07-10;Hauts-de-France;32;2
2020-07-10;Ile-de-France;11;2
2020-07-10;La Réunion;4;1
2020-07-10;Martinique;2;0
2020-07-10;Mayotte;6;0
2020-07-10;Normandie;28;0
2020-07-10;Nouvelle-Aquitaine;75;0
2020-07-10;Occitanie;76;0
2020-07-10;Pays de la Loire;52;0
2020-07-10;Provence-Alpes-Côte d'Azur;93;0
2020-07-11;Auvergne-Rhône-Alpes;84;0
2020-07-11;Bourgogne-Franche-Comté;27;2
2020-07-11;Bretagne;53;0
2020-07-11;Centre-Val de Loire;24;0
2020-07-11;Corse;94;0
2020-07-11;Grand-Est;44;0
2020-07-11;Guadeloupe;1;1
2020-07-11;Guyane;3;1
2020-07-11;Hauts-de-France;32;1
2020-07-11;Ile-de-France;11;2
2020-07-11;La Réunion;4;0
2020-07-11;Martinique;2;0
2020-07-11;Mayotte;6;0
2020-07-11;Normandie;28;0
2020-07-11;Nouvelle-Aquitaine;75;0
2020-07-11;Occitanie;76;0
2020-07-11;Pays de la Loire;52;0
2020-07-11;Provence-Alpes-Côte d'Azur;93;0
2020-07-12;Auvergne-Rhône-Alpes;84;0
2020-07-12;Bourgogne-Franche-Comté;27;0
2020-07-12;Bretagne;53;1
2020-07-12;Centre-Val de Loire;24;0
2020-07-12;Corse;94;0
2020-07-12;Grand-Est;44;0
2020-07-12;Guadeloupe;1;0
2020-07-12;Guyane;3;3
2020-07-12;Hauts-de-France;32;0
2020-07-12;Ile-de-France;11;0
2020-07-12;La Réunion;4;0
2020-07-12;Martinique;2;0
2020-07-12;Mayotte;6;0
2020-07-12;Normandie;28;0
2020-07-12;Nouvelle-Aquitaine;75;0
2020-07-12;Occitanie;76;0
2020-07-12;Pays de la Loire;52;1
2020-07-12;Provence-Alpes-Côte d'Azur;93;0
2020-07-13;Auvergne-Rhône-Alpes;84;1
2020-07-13;Bourgogne-Franche-Comté;27;1
2020-07-13;Bretagne;53;1
2020-07-13;Centre-Val de Loire;24;0
2020-07-13;Corse;94;0
2020-07-13;Grand-Est;44;0
2020-07-13;Guadeloupe;1;0
2020-07-13;Guyane;3;1
2020-07-13;Hauts-de-France;32;4
2020-07-13;Ile-de-France;11;2
2020-07-13;La Réunion;4;0
2020-07-13;Martinique;2;0
2020-07-13;Mayotte;6;0
2020-07-13;Normandie;28;0
2020-07-13;Nouvelle-Aquitaine;75;0
2020-07-13;Occitanie;76;0
2020-07-13;Pays de la Loire;52;0
2020-07-13;Provence-Alpes-Côte d'Azur;93;0
2020-07-14;Auvergne-Rhône-Alpes;84;0
2020-07-14;Bourgogne-Franche-Comté;27;0
2020-07-14;Bretagne;53;0
2020-07-14;Centre-Val de Loire;24;0
2020-07-14;Corse;94;0
2020-07-14;Grand-Est;44;0
2020-07-14;Guadeloupe;1;0
2020-07-14;Guyane;3;4
2020-07-14;Hauts-de-France;32;0
2020-07-14;Ile-de-France;11;3
2020-07-14;La Réunion;4;0
2020-07-14;Martinique;2;0
2020-07-14;Mayotte;6;0
2020-07-14;Normandie;28;0
2020-07-14;Nouvelle-Aquitaine;75;0
2020-07-14;Occitanie;76;0
2020-07-14;Pays de la Loire;52;0
2020-07-14;Provence-Alpes-Côte d'Azur;93;0
2020-07-15;Auvergne-Rhône-Alpes;84;0
2020-07-15;Bourgogne-Franche-Comté;27;2
2020-07-15;Bretagne;53;0
2020-07-15;Centre-Val de Loire;24;0
2020-07-15;Corse;94;0
2020-07-15;Grand-Est;44;3
2020-07-15;Guadeloupe;1;0
2020-07-15;Guyane;3;0
2020-07-15;Hauts-de-France;32;0
2020-07-15;Ile-de-France;11;5
2020-07-15;La Réunion;4;2
2020-07-15;Martinique;2;0
2020-07-15;Mayotte;6;1
2020-07-15;Normandie;28;0
2020-07-15;Nouvelle-Aquitaine;75;2
2020-07-15;Occitanie;76;0
2020-07-15;Pays de la Loire;52;1
2020-07-15;Provence-Alpes-Côte d'Azur;93;0
2020-07-16;Auvergne-Rhône-Alpes;84;2
2020-07-16;Bourgogne-Franche-Comté;27;1
2020-07-16;Bretagne;53;0
2020-07-16;Centre-Val de Loire;24;0
2020-07-16;Corse;94;0
2020-07-16;Grand-Est;44;1
2020-07-16;Guadeloupe;1;0
2020-07-16;Guyane;3;3
2020-07-16;Hauts-de-France;32;1
2020-07-16;Ile-de-France;11;10
2020-07-16;La Réunion;4;0
2020-07-16;Martinique;2;0
2020-07-16;Mayotte;6;0
2020-07-16;Normandie;28;0
2020-07-16;Nouvelle-Aquitaine;75;1
2020-07-16;Occitanie;76;1
2020-07-16;Pays de la Loire;52;0
2020-07-16;Provence-Alpes-Côte d'Azur;93;3
2020-07-17;Auvergne-Rhône-Alpes;84;2
2020-07-17;Bourgogne-Franche-Comté;27;0
2020-07-17;Bretagne;53;1
2020-07-17;Centre-Val de Loire;24;0
2020-07-17;Corse;94;0
2020-07-17;Grand-Est;44;0
2020-07-17;Guadeloupe;1;0
2020-07-17;Guyane;3;3
2020-07-17;Hauts-de-France;32;3
2020-07-17;Ile-de-France;11;5
2020-07-17;La Réunion;4;0
2020-07-17;Martinique;2;0
2020-07-17;Mayotte;6;0
2020-07-17;Normandie;28;1
2020-07-17;Nouvelle-Aquitaine;75;0
2020-07-17;Occitanie;76;0
2020-07-17;Pays de la Loire;52;1
2020-07-17;Provence-Alpes-Côte d'Azur;93;1
2020-07-18;Auvergne-Rhône-Alpes;84;1
2020-07-18;Bourgogne-Franche-Comté;27;0
2020-07-18;Bretagne;53;0
2020-07-18;Centre-Val de Loire;24;0
2020-07-18;Corse;94;0
2020-07-18;Grand-Est;44;1
2020-07-18;Guadeloupe;1;0
2020-07-18;Guyane;3;1
2020-07-18;Hauts-de-France;32;0
2020-07-18;Ile-de-France;11;2
2020-07-18;La Réunion;4;0
2020-07-18;Martinique;2;0
2020-07-18;Mayotte;6;0
2020-07-18;Normandie;28;1
2020-07-18;Nouvelle-Aquitaine;75;0
2020-07-18;Occitanie;76;0
2020-07-18;Pays de la Loire;52;0
2020-07-18;Provence-Alpes-Côte d'Azur;93;0
2020-07-19;Auvergne-Rhône-Alpes;84;0
2020-07-19;Bourgogne-Franche-Comté;27;0
2020-07-19;Bretagne;53;0
2020-07-19;Centre-Val de Loire;24;0
2020-07-19;Corse;94;0
2020-07-19;Grand-Est;44;0
2020-07-19;Guadeloupe;1;0
2020-07-19;Guyane;3;2
2020-07-19;Hauts-de-France;32;0
2020-07-19;Ile-de-France;11;1
2020-07-19;La Réunion;4;1
2020-07-19;Martinique;2;0
2020-07-19;Mayotte;6;0
2020-07-19;Normandie;28;0
2020-07-19;Nouvelle-Aquitaine;75;0
2020-07-19;Occitanie;76;0
2020-07-19;Pays de la Loire;52;0
2020-07-19;Provence-Alpes-Côte d'Azur;93;0
2020-07-20;Auvergne-Rhône-Alpes;84;0
2020-07-20;Bourgogne-Franche-Comté;27;0
2020-07-20;Bretagne;53;0
2020-07-20;Centre-Val de Loire;24;0
2020-07-20;Corse;94;0
2020-07-20;Grand-Est;44;3
2020-07-20;Guadeloupe;1;0
2020-07-20;Guyane;3;0
2020-07-20;Hauts-de-France;32;1
2020-07-20;Ile-de-France;11;3
2020-07-20;La Réunion;4;0
2020-07-20;Martinique;2;0
2020-07-20;Mayotte;6;0
2020-07-20;Normandie;28;1
2020-07-20;Nouvelle-Aquitaine;75;6
2020-07-20;Occitanie;76;0
2020-07-20;Pays de la Loire;52;1
2020-07-20;Provence-Alpes-Côte d'Azur;93;3
2020-07-21;Auvergne-Rhône-Alpes;84;1
2020-07-21;Bourgogne-Franche-Comté;27;0
2020-07-21;Bretagne;53;1
2020-07-21;Centre-Val de Loire;24;0
2020-07-21;Corse;94;0
2020-07-21;Grand-Est;44;0
2020-07-21;Guadeloupe;1;0
2020-07-21;Guyane;3;1
2020-07-21;Hauts-de-France;32;1
2020-07-21;Ile-de-France;11;4
2020-07-21;La Réunion;4;1
2020-07-21;Martinique;2;0
2020-07-21;Mayotte;6;0
2020-07-21;Normandie;28;0
2020-07-21;Nouvelle-Aquitaine;75;0
2020-07-21;Occitanie;76;0
2020-07-21;Pays de la Loire;52;2
2020-07-21;Provence-Alpes-Côte d'Azur;93;1
2020-07-22;Auvergne-Rhône-Alpes;84;1
2020-07-22;Bourgogne-Franche-Comté;27;0
2020-07-22;Bretagne;53;0
2020-07-22;Centre-Val de Loire;24;1
2020-07-22;Corse;94;0
2020-07-22;Grand-Est;44;0
2020-07-22;Guadeloupe;1;0
2020-07-22;Guyane;3;2
2020-07-22;Hauts-de-France;32;2
2020-07-22;Ile-de-France;11;8
2020-07-22;La Réunion;4;1
2020-07-22;Martinique;2;0
2020-07-22;Mayotte;6;1
2020-07-22;Normandie;28;0
2020-07-22;Nouvelle-Aquitaine;75;0
2020-07-22;Occitanie;76;0
2020-07-22;Pays de la Loire;52;1
2020-07-22;Provence-Alpes-Côte d'Azur;93;0
2020-07-23;Auvergne-Rhône-Alpes;84;0
2020-07-23;Bourgogne-Franche-Comté;27;0
2020-07-23;Bretagne;53;0
2020-07-23;Centre-Val de Loire;24;0
2020-07-23;Corse;94;0
2020-07-23;Grand-Est;44;1
2020-07-23;Guadeloupe;1;0
2020-07-23;Guyane;3;3
2020-07-23;Hauts-de-France;32;2
2020-07-23;Ile-de-France;11;2
2020-07-23;La Réunion;4;0
2020-07-23;Martinique;2;0
2020-07-23;Mayotte;6;0
2020-07-23;Normandie;28;1
2020-07-23;Nouvelle-Aquitaine;75;0
2020-07-23;Occitanie;76;1
2020-07-23;Pays de la Loire;52;1
2020-07-23;Provence-Alpes-Côte d'Azur;93;2
2020-07-24;Auvergne-Rhône-Alpes;84;3
2020-07-24;Bourgogne-Franche-Comté;27;0
2020-07-24;Bretagne;53;0
2020-07-24;Centre-Val de Loire;24;0
2020-07-24;Corse;94;0
2020-07-24;Grand-Est;44;1
2020-07-24;Guadeloupe;1;0
2020-07-24;Guyane;3;2
2020-07-24;Hauts-de-France;32;2
2020-07-24;Ile-de-France;11;5
2020-07-24;La Réunion;4;0
2020-07-24;Martinique;2;0
2020-07-24;Mayotte;6;0
2020-07-24;Normandie;28;0
2020-07-24;Nouvelle-Aquitaine;75;0
2020-07-24;Occitanie;76;1
2020-07-24;Pays de la Loire;52;0
2020-07-24;Provence-Alpes-Côte d'Azur;93;2
2020-07-25;Auvergne-Rhône-Alpes;84;0
2020-07-25;Bourgogne-Franche-Comté;27;0
2020-07-25;Bretagne;53;0
2020-07-25;Centre-Val de Loire;24;0
2020-07-25;Corse;94;0
2020-07-25;Grand-Est;44;1
2020-07-25;Guadeloupe;1;0
2020-07-25;Guyane;3;1
2020-07-25;Hauts-de-France;32;1
2020-07-25;Ile-de-France;11;2
2020-07-25;La Réunion;4;0
2020-07-25;Martinique;2;0
2020-07-25;Mayotte;6;0
2020-07-25;Normandie;28;1
2020-07-25;Nouvelle-Aquitaine;75;0
2020-07-25;Occitanie;76;1
2020-07-25;Pays de la Loire;52;1
2020-07-25;Provence-Alpes-Côte d'Azur;93;0
2020-07-26;Auvergne-Rhône-Alpes;84;0
2020-07-26;Bourgogne-Franche-Comté;27;0
2020-07-26;Bretagne;53;0
2020-07-26;Centre-Val de Loire;24;0
2020-07-26;Corse;94;0
2020-07-26;Grand-Est;44;0
2020-07-26;Guadeloupe;1;0
2020-07-26;Guyane;3;1
2020-07-26;Hauts-de-France;32;0
2020-07-26;Ile-de-France;11;0
2020-07-26;La Réunion;4;0
2020-07-26;Martinique;2;0
2020-07-26;Mayotte;6;0
2020-07-26;Normandie;28;0
2020-07-26;Nouvelle-Aquitaine;75;0
2020-07-26;Occitanie;76;0
2020-07-26;Pays de la Loire;52;0
2020-07-26;Provence-Alpes-Côte d'Azur;93;0
2020-07-27;Auvergne-Rhône-Alpes;84;0
2020-07-27;Bourgogne-Franche-Comté;27;0
2020-07-27;Bretagne;53;1
2020-07-27;Centre-Val de Loire;24;0
2020-07-27;Corse;94;0
2020-07-27;Grand-Est;44;2
2020-07-27;Guadeloupe;1;0
2020-07-27;Guyane;3;1
2020-07-27;Hauts-de-France;32;4
2020-07-27;Ile-de-France;11;12
2020-07-27;La Réunion;4;0
2020-07-27;Martinique;2;0
2020-07-27;Mayotte;6;0
2020-07-27;Normandie;28;0
2020-07-27;Nouvelle-Aquitaine;75;0
2020-07-27;Occitanie;76;1
2020-07-27;Pays de la Loire;52;0
2020-07-27;Provence-Alpes-Côte d'Azur;93;4
2020-07-28;Auvergne-Rhône-Alpes;84;2
2020-07-28;Bourgogne-Franche-Comté;27;0
2020-07-28;Bretagne;53;0
2020-07-28;Centre-Val de Loire;24;0
2020-07-28;Corse;94;0
2020-07-28;Grand-Est;44;1
2020-07-28;Guadeloupe;1;0
2020-07-28;Guyane;3;3
2020-07-28;Hauts-de-France;32;2
2020-07-28;Ile-de-France;11;13
2020-07-28;La Réunion;4;0
2020-07-28;Martinique;2;0
2020-07-28;Mayotte;6;0
2020-07-28;Normandie;28;0
2020-07-28;Nouvelle-Aquitaine;75;0
2020-07-28;Occitanie;76;1
2020-07-28;Pays de la Loire;52;0
2020-07-28;Provence-Alpes-Côte d'Azur;93;0
2020-07-29;Auvergne-Rhône-Alpes;84;2
2020-07-29;Bourgogne-Franche-Comté;27;0
2020-07-29;Bretagne;53;0
2020-07-29;Centre-Val de Loire;24;0
2020-07-29;Corse;94;0
2020-07-29;Grand-Est;44;0
2020-07-29;Guadeloupe;1;0
2020-07-29;Guyane;3;1
2020-07-29;Hauts-de-France;32;2
2020-07-29;Ile-de-France;11;5
2020-07-29;La Réunion;4;0
2020-07-29;Martinique;2;0
2020-07-29;Mayotte;6;1
2020-07-29;Normandie;28;0
2020-07-29;Nouvelle-Aquitaine;75;2
2020-07-29;Occitanie;76;1
2020-07-29;Pays de la Loire;52;0
2020-07-29;Provence-Alpes-Côte d'Azur;93;0
2020-07-30;Auvergne-Rhône-Alpes;84;0
2020-07-30;Bourgogne-Franche-Comté;27;0
2020-07-30;Bretagne;53;0
2020-07-30;Centre-Val de Loire;24;0
2020-07-30;Corse;94;0
2020-07-30;Grand-Est;44;1
2020-07-30;Guadeloupe;1;0
2020-07-30;Guyane;3;3
2020-07-30;Hauts-de-France;32;2
2020-07-30;Ile-de-France;11;6
2020-07-30;La Réunion;4;0
2020-07-30;Martinique;2;0
2020-07-30;Mayotte;6;0
2020-07-30;Normandie;28;0
2020-07-30;Nouvelle-Aquitaine;75;0
2020-07-30;Occitanie;76;0
2020-07-30;Pays de la Loire;52;0
2020-07-30;Provence-Alpes-Côte d'Azur;93;2
2020-07-31;Auvergne-Rhône-Alpes;84;0
2020-07-31;Bourgogne-Franche-Comté;27;1
2020-07-31;Bretagne;53;1
2020-07-31;Centre-Val de Loire;24;1
2020-07-31;Corse;94;0
2020-07-31;Grand-Est;44;0
2020-07-31;Guadeloupe;1;0
2020-07-31;Guyane;3;1
2020-07-31;Hauts-de-France;32;1
2020-07-31;Ile-de-France;11;7
2020-07-31;La Réunion;4;1
2020-07-31;Martinique;2;0
2020-07-31;Mayotte;6;0
2020-07-31;Normandie;28;0
2020-07-31;Nouvelle-Aquitaine;75;0
2020-07-31;Occitanie;76;1
2020-07-31;Pays de la Loire;52;1
2020-07-31;Provence-Alpes-Côte d'Azur;93;1
2020-08-01;Auvergne-Rhône-Alpes;84;1
2020-08-01;Bourgogne-Franche-Comté;27;0
2020-08-01;Bretagne;53;0
2020-08-01;Centre-Val de Loire;24;2
2020-08-01;Corse;94;0
2020-08-01;Grand-Est;44;0
2020-08-01;Guadeloupe;1;0
2020-08-01;Guyane;3;0
2020-08-01;Hauts-de-France;32;5
2020-08-01;Ile-de-France;11;1
2020-08-01;La Réunion;4;0
2020-08-01;Martinique;2;0
2020-08-01;Mayotte;6;0
2020-08-01;Normandie;28;0
2020-08-01;Nouvelle-Aquitaine;75;1
2020-08-01;Occitanie;76;1
2020-08-01;Pays de la Loire;52;0
2020-08-01;Provence-Alpes-Côte d'Azur;93;0
2020-08-02;Auvergne-Rhône-Alpes;84;1
2020-08-02;Bourgogne-Franche-Comté;27;0
2020-08-02;Bretagne;53;0
2020-08-02;Centre-Val de Loire;24;0
2020-08-02;Corse;94;0
2020-08-02;Grand-Est;44;0
2020-08-02;Guadeloupe;1;0
2020-08-02;Guyane;3;0
2020-08-02;Hauts-de-France;32;2
2020-08-02;Ile-de-France;11;0
2020-08-02;La Réunion;4;0
2020-08-02;Martinique;2;0
2020-08-02;Mayotte;6;0
2020-08-02;Normandie;28;0
2020-08-02;Nouvelle-Aquitaine;75;0
2020-08-02;Occitanie;76;0
2020-08-02;Pays de la Loire;52;0
2020-08-02;Provence-Alpes-Côte d'Azur;93;0
2020-08-03;Auvergne-Rhône-Alpes;84;2
2020-08-03;Bourgogne-Franche-Comté;27;0
2020-08-03;Bretagne;53;5
2020-08-03;Centre-Val de Loire;24;0
2020-08-03;Corse;94;0
2020-08-03;Grand-Est;44;1
2020-08-03;Guadeloupe;1;0
2020-08-03;Guyane;3;2
2020-08-03;Hauts-de-France;32;4
2020-08-03;Ile-de-France;11;5
2020-08-03;La Réunion;4;0
2020-08-03;Martinique;2;0
2020-08-03;Mayotte;6;0
2020-08-03;Normandie;28;0
2020-08-03;Nouvelle-Aquitaine;75;0
